,ID,HPA
0,0,0.029684241616699438
1,1,0.020845258497350753
2,2,0.012159790623027958
3,3,0.025289148699886667
4,4,0.015403374924828413
5,5,0.01370096688250292
6,6,0.035845523805370066
7,7,0.024494553291525906
8,8,0.021594950894702827
9,9,0.025486057399728007
10,10,0.011741738123751762
11,11,0.015652905804533546
12,12,0.009501225827319059
13,13,0.008932705103553757
14,14,0.0096523085561119
15,15,0.026391424967862707
16,16,0.01973666621863364
17,17,0.024512920434368538
18,18,0.023721303930196766
19,19,0.02511477028213391
20,20,0.03224402327952106
21,21,0.020873809916659606
22,22,0.02939960539749064
23,23,0.016955289180085136
24,24,0.015051304646817015
25,25,0.013983299528739031
26,26,0.018002580083487773
27,27,0.02369799413410652
28,28,0.01488471003699803
29,29,0.016437244851199392
30,30,0.012562227100648625
31,31,0.025919786162597287
32,32,0.013687446038321064
33,33,0.0197118779423121
34,34,0.016000600949498855
35,35,0.007972398686621572
36,36,0.011028332419258269
37,37,0.014768159284560349
38,38,0.016049918657613578
39,39,0.01076562422654034
40,40,0.009871854498144182
41,41,0.03168076295021561
42,42,0.013521161626631261
43,43,0.011709944999879566
44,44,0.019395438924716766
45,45,0.02990349026115618
46,46,0.034994251618538204
47,47,0.008505723223040603
48,48,0.02112877708304749
49,49,0.017538812120234094
50,50,0.03916300766349253
51,51,0.009908832357561978
52,52,0.02340328525730483
53,53,0.023292568008300506
54,54,0.01818887903559231
55,55,0.01932701387282698
56,56,0.02669978529044526
57,57,0.019328181490754402
58,58,0.03299650533755378
59,59,0.026246243514931666
60,60,0.01170048155801202
61,61,0.015450878727388668
62,62,0.025960824103199692
63,63,0.020231349346450243
64,64,0.02639759940469041
65,65,0.02684076446233152
66,66,0.02325311772341048
67,67,0.01641151998957716
68,68,0.017299996964458848
69,69,0.02333595798419637
70,70,0.015592435666165774
71,71,0.027458738258220112
72,72,0.03165292487926055
73,73,0.016934247522316256
74,74,0.03164185435367887
75,75,0.02385299038570058
76,76,0.022680298356262656
77,77,0.018538619027810236
78,78,0.02123926407356604
79,79,0.023975622782678382
80,80,0.015344227065666554
81,81,0.01245268685172828
82,82,0.028249703289892552
83,83,0.013159426702808324
84,84,0.03471998688676207
85,85,0.020351184251501737
86,86,0.01638719849563971
87,87,0.012303512401541703
88,88,0.00898267386316646
89,89,0.023765203775969326
90,90,0.012370184241276101
91,91,0.012156137322561175
92,92,0.00923794774039749
93,93,0.01052766477645098
94,94,0.020722912858631072
95,95,0.016486734369563934
96,96,0.021304316814986943
97,97,0.017713875103405285
98,98,0.02372392782089529
99,99,0.012802655395054836
