,ANOC,Algorithms
0,0.0721689282294614,HDSA
1,0.09383590819567644,HDSA
2,0.1027454923109219,HDSA
3,0.044059371549094166,HDSA
4,0.07952342309376775,HDSA
5,0.07571734162501365,HDSA
6,0.06811330286086566,HDSA
7,0.07437650689850535,HDSA
8,0.11132485087855057,HDSA
9,0.06286424140518627,HDSA
10,0.08016784658137269,HDSA
11,0.09614855065209084,HDSA
12,0.07532048430024606,HDSA
13,0.0651750635256765,HDSA
14,0.04448060581753698,HDSA
15,0.08350041720768993,HDSA
16,0.06598617521079489,HDSA
17,0.1034642056078932,HDSA
18,0.10388803580781902,HDSA
19,0.09038244511065358,HDSA
20,0.061821835412726005,HDSA
21,0.07918902120415036,HDSA
22,0.06765726239868512,HDSA
23,0.08635333779997129,HDSA
24,0.0776249685570022,HDSA
25,0.09166468176285576,HDSA
26,0.02897256771255418,HDSA
27,0.06855614991508545,HDSA
28,0.06302640185852544,HDSA
29,0.05676048765779729,HDSA
30,0.11054627232244252,HDSA
31,0.1135322866039832,HDSA
32,0.0890764718383848,HDSA
33,0.08665697637825988,HDSA
34,0.08053555079174618,HDSA
35,0.08398544174698952,HDSA
36,0.11329011180174565,HDSA
37,0.06174689684812635,HDSA
38,0.08516393233556356,HDSA
39,0.09704360289761776,HDSA
40,0.11783782441359615,HDSA
41,0.09246716747186184,HDSA
42,0.07431947143656585,HDSA
43,0.08814232213177126,HDSA
44,0.052234992467519184,HDSA
45,0.06432983276355568,HDSA
46,0.06565149467476683,HDSA
47,0.08589520495546818,HDSA
48,0.07735651860236974,HDSA
49,0.0769324738938256,HDSA
50,0.08412984910356391,HDSA
51,0.06686712206554629,HDSA
52,0.09348123125338803,HDSA
53,0.08662309436051355,HDSA
54,0.09802158241789873,HDSA
55,0.0754065581789752,HDSA
56,0.11695214068458393,HDSA
57,0.10353254650088364,HDSA
58,0.06807690049850806,HDSA
59,0.05202388603547764,HDSA
60,0.09635487900844814,HDSA
61,0.10033558515745873,HDSA
62,0.1146916664381151,HDSA
63,0.08320516850976391,HDSA
64,0.08698242849738866,HDSA
65,0.05912091323336146,HDSA
66,0.04374188161992476,HDSA
67,0.06226917321352352,HDSA
68,0.0781483089922956,HDSA
69,0.066048905935772,HDSA
70,0.09160760716140147,HDSA
71,0.08066268257631097,HDSA
72,0.06577265903106293,HDSA
73,0.10444698941873826,HDSA
74,0.08633235228786237,HDSA
75,0.11007692036885253,HDSA
76,0.0663493449327669,HDSA
77,0.08603574069978961,HDSA
78,0.0733177437981108,HDSA
79,0.08477894851712665,HDSA
80,0.08541481080698952,HDSA
81,0.049248525295743265,HDSA
82,0.06554899083550965,HDSA
83,0.09056653137093183,HDSA
84,0.06673684745844427,HDSA
85,0.12311748026466085,HDSA
86,0.07524296907497728,HDSA
87,0.07122233129793387,HDSA
88,0.0692227973278122,HDSA
89,0.08364765992701477,HDSA
90,0.08193584672660828,HDSA
91,0.0962081543724313,HDSA
92,0.058354014041854786,HDSA
93,0.0921749341082869,HDSA
94,0.09875668328697776,HDSA
95,0.12127955198282232,HDSA
96,0.04303809142642249,HDSA
97,0.08236774335297926,HDSA
98,0.0821329319394469,HDSA
99,0.07604199143238792,HDSA
0,0.06265074268638836,HDDA
1,0.027168543385239826,HDDA
2,0.03058893187237232,HDDA
3,0.04633087958696065,HDDA
4,0.08578196528496689,HDDA
5,0.05233596050236476,HDDA
6,0.040300618702856734,HDDA
7,0.04728294369075377,HDDA
8,0.03871080240019165,HDDA
9,0.0759834570759598,HDDA
10,0.06376648164316129,HDDA
11,0.0423030754182529,HDDA
12,0.058071846791201816,HDDA
13,0.047871417011985634,HDDA
14,0.04552424432073927,HDDA
15,0.043586185664814266,HDDA
16,0.02156824624002927,HDDA
17,0.04479379985423742,HDDA
18,0.05897003107756224,HDDA
19,0.02481491052259981,HDDA
20,0.0449399044053377,HDDA
21,0.05779272160534496,HDDA
22,0.05920711113977965,HDDA
23,0.047218973171595714,HDDA
24,0.034144801756204886,HDDA
25,0.04191921883926982,HDDA
26,0.054917478578449634,HDDA
27,0.03390903783329195,HDDA
28,0.04151592609950827,HDDA
29,0.05128490717633514,HDDA
30,0.03735012608689798,HDDA
31,0.021364216805287817,HDDA
32,0.045976038849006085,HDDA
33,0.04496659370032032,HDDA
34,0.034074271556880524,HDDA
35,0.029951964923954227,HDDA
36,0.0252226986039174,HDDA
37,0.0427495639276843,HDDA
38,0.028238788925031674,HDDA
39,0.020263409586767426,HDDA
40,0.0343997264286192,HDDA
41,0.06191037658415041,HDDA
42,0.05286973255618633,HDDA
43,0.04538809995293763,HDDA
44,0.0506234521159492,HDDA
45,0.0702920663702121,HDDA
46,0.06825399236753317,HDDA
47,0.03586100458036237,HDDA
48,0.07225823306945417,HDDA
49,0.06758814863683002,HDDA
50,0.042600755590770464,HDDA
51,0.052169016548007166,HDDA
52,0.009381098474498046,HDDA
53,0.049093019895547436,HDDA
54,0.031722569643791616,HDDA
55,0.051950975915498604,HDDA
56,0.03608476965384752,HDDA
57,0.06979936559915846,HDDA
58,0.06673768794529693,HDDA
59,0.061819260790629126,HDDA
60,0.04721509028462855,HDDA
61,0.04464437682801396,HDDA
62,0.027335804638127043,HDDA
63,0.06622993427712028,HDDA
64,0.04102075648301878,HDDA
65,0.07296237560517456,HDDA
66,0.06698170699858698,HDDA
67,0.057053660796160234,HDDA
68,0.03875624471105428,HDDA
69,0.025644702759744245,HDDA
70,0.0218129433819847,HDDA
71,0.03907292008769298,HDDA
72,0.05625060257617782,HDDA
73,0.06988842536114494,HDDA
