,ID,HDIA
0,0,0.22294055437518495
1,1,0.14016037571944456
2,2,0.19971694533448298
3,3,0.12094013658701502
4,4,0.11898222968067185
5,5,0.1126348910280617
6,6,0.15526970449246721
7,7,0.15762773331573304
8,8,0.1704780383506052
9,9,0.20724445892578566
10,10,0.17301045118980024
11,11,0.14096579047453098
12,12,0.20114816740878225
13,13,0.18266887163248688
14,14,0.1235877873738722
15,15,0.17032725227511647
16,16,0.16602423505468533
17,17,0.17588637128671666
18,18,0.17711511750845965
19,19,0.10205991316637252
20,20,0.15059205248488602
21,21,0.15977296802244434
22,22,0.17785284897074013
23,23,0.20861008560708633
24,24,0.11973002180736973
25,25,0.17810959412829072
26,26,0.15488133535067555
27,27,0.1740366871747045
28,28,0.172885157049143
29,29,0.19436231618421862
30,30,0.13741945171266914
31,31,0.13738614414530742
32,32,0.17118967384988779
33,33,0.11832034352810875
34,34,0.19026143065808862
35,35,0.12857369480714248
36,36,0.12955325163127143
37,37,0.19019207093569673
38,38,0.18547558754479437
39,39,0.15656981397719286
40,40,0.20797160586584873
41,41,0.16280209741005933
42,42,0.17679117977296635
43,43,0.173895589595603
44,44,0.14314240213588791
45,45,0.1597652825230994
46,46,0.13891736283100045
47,47,0.12817140714214162
48,48,0.1646680936536783
49,49,0.1473566933729096
50,50,0.21998002574816353
51,51,0.1919463626677034
52,52,0.16636139613704218
53,53,0.1677596706958196
54,54,0.16787022439007576
55,55,0.182412013899484
56,56,0.15580266126810136
57,57,0.17478764133250077
58,58,0.15475839818554576
59,59,0.22365812912452188
60,60,0.1552931458262499
61,61,0.19734001970749634
62,62,0.13093304364835082
63,63,0.14071053513237522
64,64,0.14773768620964106
65,65,0.21820574046258298
66,66,0.1667454972756762
67,67,0.13888282469132182
68,68,0.1628805590992386
69,69,0.14064726328385335
70,70,0.18260361408003967
71,71,0.13347551815331002
72,72,0.12554257216707745
73,73,0.15485564227336315
74,74,0.14512595332552447
75,75,0.15609523410464501
76,76,0.18910180069556246
77,77,0.15349346638544353
78,78,0.20268604138799193
79,79,0.15608168924245328
80,80,0.133450896558405
81,81,0.10773847211326543
82,82,0.20253211241186692
83,83,0.13239598842432107
84,84,0.11550901143687836
85,85,0.1828686435714083
86,86,0.1336753615111095
87,87,0.20038621999598807
88,88,0.18241496899770518
89,89,0.19972966719799345
90,90,0.1339613891787557
91,91,0.12180156673317384
92,92,0.1373838098991433
93,93,0.14727601056176104
94,94,0.11906465970320784
95,95,0.15526522232186432
96,96,0.1724522057865228
97,97,0.15792484223422493
98,98,0.18229953572208432
99,99,0.1725072462329764
