,ID,SHATTER
0,0,0.024519900304563184
1,1,0.028021067391852547
2,2,0.019709839824497716
3,3,0.026691300623971032
4,4,0.016472784485821765
5,5,0.02413361543460964
6,6,0.01997039935083731
7,7,0.035752387113590675
8,8,0.012759066463079083
9,9,0.022609197937657595
10,10,0.015283633290918143
11,11,0.016266515261667232
12,12,0.026039538387971236
13,13,0.04118115241150181
14,14,0.013287866291819727
15,15,0.02430640231939972
16,16,0.010071956201703912
17,17,0.01370224137616698
18,18,0.022066578702185802
19,19,0.032634834814437984
20,20,0.02753366892997352
21,21,0.02325598185663231
22,22,0.021670289183700734
23,23,0.0308519966368007
24,24,0.017165767262982846
25,25,0.00836399096227891
26,26,0.035227866540867216
27,27,0.027907390325144582
28,28,0.015135128516730077
29,29,0.005065853650241916
30,30,0.032004611223722904
31,31,0.023756167937675533
32,32,0.01479015882923801
33,33,0.005976849994573272
34,34,0.013291322650980032
35,35,0.02296496820625059
36,36,0.018259342238852668
37,37,0.012138506016406406
38,38,0.01146105243278308
39,39,0.013885340654649452
40,40,0.015975315656300032
41,41,0.01587255773361275
42,42,0.018793258160204936
43,43,0.014247976155654957
44,44,0.013946362912343656
45,45,0.012132747525727322
46,46,0.012898257215322074
47,47,0.02094513442540086
48,48,0.014510312508688283
49,49,0.017615663057145372
50,50,0.028303238322153253
51,51,0.012427027645794776
52,52,0.027619224795251886
53,53,0.03154857253340907
54,54,0.03295247403064812
55,55,0.01980068465640486
56,56,0.02213127519603208
57,57,0.04316427020818735
58,58,0.025555422829620592
59,59,0.02809520901804228
60,60,0.025631184394399847
61,61,0.006282289093778551
62,62,0.03799096232047357
63,63,0.04077465488422852
64,64,0.022008362494949175
65,65,0.042076878935037774
66,66,0.006560062511241614
67,67,0.01550180602347138
68,68,0.030606152113644734
69,69,0.019366394120386335
70,70,0.011607446384500845
71,71,0.008328131033190678
72,72,0.016994451561549103
73,73,0.03029615030690608
74,74,0.02198813214408741
75,75,0.02459489415204181
76,76,0.02136651362064093
77,77,0.028724152962311553
78,78,0.027480823763899168
79,79,0.01137201422652462
80,80,0.015137031045858763
81,81,0.028062107972190758
82,82,0.032741835832039656
83,83,0.01102728302508463
84,84,0.009194310871735084
85,85,0.009365500672103665
86,86,0.016561634665355762
87,87,0.03736904727286536
88,88,0.004024221499825313
89,89,0.020022329432766155
90,90,0.009379689434426752
91,91,0.015797855690421535
92,92,0.01883084141582724
93,93,0.0187666731108235
94,94,0.014218929913533046
95,95,0.02690665016349338
96,96,0.024438578444908217
97,97,0.01773834372546172
98,98,0.0369638967062097
99,99,0.01720827544166998
