,ID,FINDER
0,0,0.056536298107783114
1,1,0.06132473243455737
2,2,0.049590725515462494
3,3,0.06103010106977423
4,4,0.05434800413922509
5,5,0.04994900977577314
6,6,0.06585941356109044
7,7,0.05188972857948595
8,8,0.044169780387722284
9,9,0.0603659242850143
10,10,0.04843164912630422
11,11,0.09209947010050003
12,12,0.06949603079839504
13,13,0.05198725928400168
14,14,0.05885291904815515
15,15,0.05490420577695095
16,16,0.04548066778264614
17,17,0.06465865052903706
18,18,0.042503416821935286
19,19,0.04676672373226552
20,20,0.05368875346174373
21,21,0.10349205178723278
22,22,0.05986550618824762
23,23,0.04669406446727055
24,24,0.06289272474132945
25,25,0.059840319371785175
26,26,0.04857413026867765
27,27,0.08233670430370262
28,28,0.05721813130436136
29,29,0.07839123680541757
30,30,0.04332819610499799
31,31,0.05016339765537546
32,32,0.0471774393921743
33,33,0.06739870186679779
34,34,0.04608969227821476
35,35,0.06230986018217761
36,36,0.06423534832528469
37,37,0.055552442882650314
38,38,0.057175910275442866
39,39,0.05003286113904657
40,40,0.0805481373231088
41,41,0.05099763024047589
42,42,0.039929835114766804
43,43,0.04643617543863678
44,44,0.11812652684898003
45,45,0.05361735708706053
46,46,0.07822799169403723
47,47,0.06160055802301192
48,48,0.0489027326209351
49,49,0.0491084283018377
50,50,0.05211810540472693
51,51,0.05335389448752519
52,52,0.10200437674494664
53,53,0.04981643642111109
54,54,0.055196848924744676
55,55,0.06094993643464023
56,56,0.05425668311364808
57,57,0.058588451744456635
58,58,0.046953258453327214
59,59,0.055814595069842966
60,60,0.07672019797892768
61,61,0.07795346257759338
62,62,0.06482392843984845
63,63,0.06658043677694987
64,64,0.040347408820577677
65,65,0.04706869388576566
66,66,0.04860021477150174
67,67,0.038227585572455494
68,68,0.10013723041151557
69,69,0.08570598007068918
70,70,0.05793679639421038
71,71,0.0677478985809857
72,72,0.044883669980293084
73,73,0.05203596398681229
74,74,0.06916055509153508
75,75,0.0657536129977847
76,76,0.0581357185048287
77,77,0.044916566782168675
78,78,0.048334329608818824
79,79,0.054450952926796095
80,80,0.0622581729296836
81,81,0.048565133200793247
82,82,0.05811979315352069
83,83,0.052506728316228046
84,84,0.05531236467229937
85,85,0.10053183912630044
86,86,0.056313034656814365
87,87,0.0574812771476271
88,88,0.05817608519864155
89,89,0.07207183016275981
90,90,0.05978862538418211
91,91,0.04824380965400917
92,92,0.06016213394345054
93,93,0.058039678703101345
94,94,0.05471527708265887
95,95,0.058250460177918
96,96,0.0621972116395167
97,97,0.05400833682269045
98,98,0.0786375744157842
99,99,0.06302298924538227
