,ID,HDSA
0,0,0.11756825317773295
1,1,0.15976892170284995
2,2,0.16866846257014437
3,3,0.19915806891950544
4,4,0.12001368444951975
5,5,0.18019113189126967
6,6,0.17957871116635704
7,7,0.20120963219000557
8,8,0.10800639410665314
9,9,0.1657651026971051
10,10,0.12014242985422417
11,11,0.12278812805471534
12,12,0.11196439816411408
13,13,0.15088614318514296
14,14,0.20668508084807982
15,15,0.19926798271720142
16,16,0.16922164502862652
17,17,0.1737361176238003
18,18,0.19835410127072456
19,19,0.20822393997504307
20,20,0.18389270691046114
21,21,0.13758954410316743
22,22,0.12082142048276405
23,23,0.12474201388041034
24,24,0.1899568835248184
25,25,0.14930382105725837
26,26,0.1510308322744533
27,27,0.1611017307638364
28,28,0.11606908356204958
29,29,0.1621535295265813
30,30,0.14214212290929162
31,31,0.1494696459054453
32,32,0.1363495851742995
33,33,0.19151566460147937
34,34,0.17250267855562001
35,35,0.17477674799700554
36,36,0.11320743349623544
37,37,0.13699050069957183
38,38,0.12809302923271212
39,39,0.1111625947387163
40,40,0.1198451354575771
41,41,0.12825796010400553
42,42,0.15873155535956437
43,43,0.1697626693235751
44,44,0.17947175981376262
45,45,0.14893217278615867
46,46,0.17458053725989264
47,47,0.1708910880166821
48,48,0.1574058020302455
49,49,0.1880913042271684
50,50,0.11983118608682702
51,51,0.12352621193597342
52,52,0.13694968263464352
53,53,0.1581045894323873
54,54,0.16129145160762076
55,55,0.14476641198090195
56,56,0.17174290754720659
57,57,0.14740620161557266
58,58,0.1891851508553163
59,59,0.137181180201043
60,60,0.16976944521528958
61,61,0.11771127847028016
62,62,0.13398732832684718
63,63,0.22890565849809782
64,64,0.11905218496278527
65,65,0.11960567153866762
66,66,0.1688520290255168
67,67,0.18120125467938675
68,68,0.15329836530857838
69,69,0.17539534417851543
70,70,0.11943465610580462
71,71,0.13353049480200932
72,72,0.20760403123494853
73,73,0.1756513044009656
74,74,0.17489321782337183
75,75,0.15855064241196806
76,76,0.14759213155294496
77,77,0.15104816125693063
78,78,0.16347612814448456
79,79,0.16822458408452157
80,80,0.17382857329540677
81,81,0.20117920846143306
82,82,0.15335585894334103
83,83,0.13493758310157603
84,84,0.17712479398243652
85,85,0.1416532041074677
86,86,0.18704412159185818
87,87,0.15656499729233353
88,88,0.17091096482813123
89,89,0.19913849457464752
90,90,0.16016273341505138
91,91,0.1334819201685211
92,92,0.160897210491951
93,93,0.153022315219989
94,94,0.1854964360335104
95,95,0.13342994069296454
96,96,0.14920468709312135
97,97,0.1514190671143184
98,98,0.1403531849067468
99,99,0.14983129076767265
