,ANOC,Algorithms
0,0.12067149146539805,HDSA
1,0.08214517871762454,HDSA
2,0.1256959449704795,HDSA
3,0.11341708556461275,HDSA
4,0.09162345143449928,HDSA
5,0.12549883398728914,HDSA
6,0.09884572502698633,HDSA
7,0.11042175130505263,HDSA
8,0.11866474508890852,HDSA
9,0.1207609591324514,HDSA
10,0.1120015823455964,HDSA
11,0.10873541303927306,HDSA
12,0.11588092990472094,HDSA
13,0.08747831082401708,HDSA
14,0.11623559734165725,HDSA
15,0.0983391341674326,HDSA
16,0.10397688511913784,HDSA
17,0.10206793756545647,HDSA
18,0.11139149016743544,HDSA
19,0.12103740312813238,HDSA
20,0.10516747310656926,HDSA
21,0.127664621545999,HDSA
22,0.11442947396775208,HDSA
23,0.11605901930049435,HDSA
24,0.10737354939166742,HDSA
25,0.1056987713783726,HDSA
26,0.10306291895618218,HDSA
27,0.10336885777661008,HDSA
28,0.1075804369597822,HDSA
29,0.10452054045785762,HDSA
30,0.1133136632540202,HDSA
31,0.1015946953296904,HDSA
32,0.10597344507098087,HDSA
33,0.08777240368263436,HDSA
34,0.11447089707210395,HDSA
35,0.11685633253217352,HDSA
36,0.12497845597343875,HDSA
37,0.1182907734623072,HDSA
38,0.12252953415482501,HDSA
39,0.09488088892118833,HDSA
40,0.10961244504766997,HDSA
41,0.10598292677055544,HDSA
42,0.10442406398362228,HDSA
43,0.10498837626125178,HDSA
44,0.1162999553479955,HDSA
45,0.13563343157748395,HDSA
46,0.13003255760141774,HDSA
47,0.11018446649843552,HDSA
48,0.12346742231191273,HDSA
49,0.10818242636606476,HDSA
50,0.12428043864019872,HDSA
51,0.09719135106820703,HDSA
52,0.11402468864184707,HDSA
53,0.11279950247953267,HDSA
54,0.11066028666175967,HDSA
55,0.11326094537419405,HDSA
56,0.10486413972660122,HDSA
57,0.11397003178869712,HDSA
58,0.09546994010877054,HDSA
59,0.10636216004029576,HDSA
60,0.08695069001238177,HDSA
61,0.09810853406834333,HDSA
62,0.09904342426039207,HDSA
63,0.10491211903577907,HDSA
64,0.11174492352415516,HDSA
65,0.12239693596602605,HDSA
66,0.13226074040795696,HDSA
67,0.10226712188029556,HDSA
68,0.09849136332291826,HDSA
69,0.10841164319990468,HDSA
70,0.0930228611238101,HDSA
71,0.12786024424222722,HDSA
72,0.11950964813002128,HDSA
73,0.1078511213251933,HDSA
74,0.11219964223156946,HDSA
75,0.11645445035527725,HDSA
76,0.1076079320341604,HDSA
77,0.10635948240186496,HDSA
78,0.11746553984464438,HDSA
79,0.1336486033159807,HDSA
80,0.1091015004704308,HDSA
81,0.11172785287553197,HDSA
82,0.12339537289086408,HDSA
83,0.11415786539662227,HDSA
84,0.10501548036235853,HDSA
85,0.0874143106116155,HDSA
86,0.10162839242144676,HDSA
87,0.1246065504340373,HDSA
88,0.11198953822762804,HDSA
89,0.10549778840113326,HDSA
90,0.12629501264430038,HDSA
91,0.07976972830926363,HDSA
92,0.11445728956369328,HDSA
93,0.11006887914470732,HDSA
94,0.10686578628522504,HDSA
95,0.10258561333296734,HDSA
96,0.12633135772293033,HDSA
97,0.11473269836411135,HDSA
98,0.11840094816707696,HDSA
99,0.10954485963712694,HDSA
0,0.08186229270055541,HDDA
1,0.09505777117737724,HDDA
2,0.09691293827667356,HDDA
3,0.08865039712753171,HDDA
4,0.10823491414980976,HDDA
5,0.07779708054417868,HDDA
6,0.08745846980640716,HDDA
7,0.09893060910125533,HDDA
8,0.08842693672181959,HDDA
9,0.08305655197115719,HDDA
10,0.07590186505211623,HDDA
11,0.08901129329872345,HDDA
12,0.07190270713187394,HDDA
13,0.09307433950381397,HDDA
14,0.07834166157233287,HDDA
15,0.10279099360777988,HDDA
16,0.09497383036470228,HDDA
17,0.09667651378159699,HDDA
18,0.06736494859394124,HDDA
19,0.10409403354221518,HDDA
20,0.0965021699127561,HDDA
21,0.09196671545269193,HDDA
22,0.07823942627465398,HDDA
23,0.10190173869559918,HDDA
24,0.0822251419752128,HDDA
25,0.09397245014697916,HDDA
26,0.08875344570431473,HDDA
27,0.0673694298461115,HDDA
28,0.0909111679709616,HDDA
29,0.09570576679006784,HDDA
30,0.08632130432998092,HDDA
31,0.11122828903586822,HDDA
32,0.08300371938267052,HDDA
33,0.0891909503247812,HDDA
34,0.09851132995176627,HDDA
35,0.07695482119928197,HDDA
36,0.10330120629390026,HDDA
37,0.091682299745469,HDDA
38,0.11221903835681732,HDDA
39,0.09674229926668157,HDDA
40,0.0858978167668437,HDDA
41,0.11325308320995152,HDDA
42,0.0944052030944245,HDDA
43,0.0793188410575993,HDDA
44,0.0841320509357168,HDDA
45,0.10132708127504148,HDDA
46,0.09390622869515654,HDDA
47,0.07960619007406199,HDDA
48,0.08503778391459754,HDDA
49,0.0930368665142488,HDDA
50,0.06654792827354658,HDDA
51,0.10465074587204402,HDDA
52,0.09744656328116988,HDDA
53,0.08580736241070662,HDDA
54,0.09686560109461534,HDDA
55,0.0946566237071089,HDDA
56,0.0788981511852935,HDDA
57,0.09419509895971764,HDDA
58,0.0873546843015794,HDDA
59,0.07993494992707333,HDDA
60,0.08332388635531779,HDDA
61,0.08197986294079439,HDDA
62,0.0956873323767951,HDDA
63,0.10049656922487092,HDDA
64,0.09407639827084048,HDDA
65,0.10379111117891404,HDDA
66,0.0764109661687837,HDDA
67,0.10190172606871256,HDDA
68,0.10710633454875937,HDDA
69,0.06907585883466902,HDDA
70,0.09705012699604763,HDDA
71,0.09434783273298483,HDDA
72,0.08927076940055828,HDDA
73,0.09841567052218538,HDDA
