,ID,HDA
0,0,0.09036895627118423
1,1,0.08824602293378678
2,2,0.10287331568310357
3,3,0.0941257308557342
4,4,0.08736950587097315
5,5,0.09898686524787591
6,6,0.07886031394214867
7,7,0.09862943527955896
8,8,0.09524117216121733
9,9,0.10650513823884877
10,10,0.07148850773525522
11,11,0.10737419291912377
12,12,0.09140260631213423
13,13,0.08453535578094298
14,14,0.08618012345310049
15,15,0.1028219794928423
16,16,0.09471552787077576
17,17,0.10406260276422072
18,18,0.08227642613760372
19,19,0.1060889820465286
20,20,0.11251801348538602
21,21,0.12380138147527195
22,22,0.10263922492156217
23,23,0.09851726069616004
24,24,0.09112241205357047
25,25,0.10012034933562483
26,26,0.08829774893561851
27,27,0.07596371585383915
28,28,0.09283855342145202
29,29,0.0997402921402545
30,30,0.09026893813067258
31,31,0.09824737852239313
32,32,0.0986288399443356
33,33,0.08341622641437191
34,34,0.10556930869190054
35,35,0.09039729866866632
36,36,0.10842674967764986
37,37,0.104318926736271
38,38,0.1178080971919386
39,39,0.09704250101201987
40,40,0.0836515880428314
41,41,0.1117855416769871
42,42,0.09661598218374517
43,43,0.08536907466595248
44,44,0.09258752763839992
45,45,0.10917420603815657
46,46,0.10267135342936735
47,47,0.09122101916181745
48,48,0.0901415313434833
49,49,0.09619012780052007
50,50,0.0783783588622631
51,51,0.10230758166245756
52,52,0.10687496874928164
53,53,0.10210973630760721
54,54,0.10610775117028474
55,55,0.10351161923914413
56,56,0.09953940281739035
57,57,0.09827500953705272
58,58,0.09604700081356955
59,59,0.08055618818499137
60,60,0.08442282661889242
61,61,0.07139633595607969
62,62,0.09948928181492521
63,63,0.09346722812275941
64,64,0.10279433380653685
65,65,0.10023285778504172
66,66,0.1066061735013975
67,67,0.08874479261468851
68,68,0.09587338614776166
69,69,0.0639063652753543
70,70,0.10061208233687888
71,71,0.10884153888533357
72,72,0.10419848894406498
73,73,0.10775211229852615
74,74,0.09953520384678431
75,75,0.09581684435960268
76,76,0.09089195768156495
77,77,0.10124648671801724
78,78,0.07980157923178567
79,79,0.09653872737293435
80,80,0.09982892744480777
81,81,0.09401956965385967
82,82,0.09508747124266337
83,83,0.11443853117844162
84,84,0.09052761524535549
85,85,0.09672226745390244
86,86,0.1114823053595059
87,87,0.09635085330412149
88,88,0.09496200498002894
89,89,0.09484314491168733
90,90,0.1075874262937303
91,91,0.09629372214315456
92,92,0.09522415609511413
93,93,0.0965709118114735
94,94,0.09671959181599842
95,95,0.10383376675307746
96,96,0.08252652939424429
97,97,0.10630924230368276
98,98,0.10364950651078801
99,99,0.10525505091616535
