,ID,HDIA
0,0,0.1246092720976167
1,1,0.09432271132782327
2,2,0.11857233106134733
3,3,0.07930868685120168
4,4,0.14110904640030905
5,5,0.11272164929984305
6,6,0.11802388752097026
7,7,0.12804658897494514
8,8,0.09860447189599061
9,9,0.10848302500360354
10,10,0.1210956368872168
11,11,0.08594428417396555
12,12,0.07003698016199501
13,13,0.10851779851582173
14,14,0.07465213650131772
15,15,0.13876222504549054
16,16,0.08809635371923591
17,17,0.07734447197960573
18,18,0.12300301729001244
19,19,0.08353707084941461
20,20,0.13208970681163615
21,21,0.11043275660690816
22,22,0.0876117533531909
23,23,0.10481113571951269
24,24,0.12146097506575386
25,25,0.10959231276437101
26,26,0.06594338147912637
27,27,0.11351198724510934
28,28,0.12773213202761807
29,29,0.10306670712084423
30,30,0.11351880119721922
31,31,0.0909959102854871
32,32,0.1140820020815787
33,33,0.06943894726603544
34,34,0.08972547013388459
35,35,0.10990829792509721
36,36,0.1265269011455065
37,37,0.17178486387198588
38,38,0.10916680731624426
39,39,0.10970189317680072
40,40,0.13833563161495366
41,41,0.1050912601046336
42,42,0.1388396643093324
43,43,0.12477640591792531
44,44,0.09928538138770616
45,45,0.08773771319494318
46,46,0.13140701632977203
47,47,0.1333880262012554
48,48,0.09550794978314033
49,49,0.09362537384694963
50,50,0.09794013876983619
51,51,0.07608181599484899
52,52,0.115910269187922
53,53,0.08522675832782828
54,54,0.07963006552273758
55,55,0.14407172854295333
56,56,0.11984342643567952
57,57,0.11423465827531576
58,58,0.11606225240734798
59,59,0.14347784376668063
60,60,0.09195873861012488
61,61,0.10104449667141878
62,62,0.13671637901835015
63,63,0.11255356358220403
64,64,0.10498060910951584
65,65,0.11013932374337897
66,66,0.09961596603771279
67,67,0.10578330509939426
68,68,0.10571619903886909
69,69,0.07104449588614026
70,70,0.09187264554295381
71,71,0.1051364149862351
72,72,0.14018290285712673
73,73,0.08861544323289015
74,74,0.12003274897967174
75,75,0.13830047450209293
76,76,0.11465808899385721
77,77,0.12177272106777062
78,78,0.10253007194183555
79,79,0.14065068829305077
80,80,0.13659126319583098
81,81,0.09654660365739672
82,82,0.11447716592039076
83,83,0.12082925357768931
84,84,0.12106922256508304
85,85,0.08673094244490988
86,86,0.10600563355834132
87,87,0.12273433605061879
88,88,0.06724792832167406
89,89,0.12030989142424871
90,90,0.1072463158077636
91,91,0.09344392873527838
92,92,0.11629536156132055
93,93,0.12287235156961691
94,94,0.09154407648962642
95,95,0.14242662191330632
96,96,0.11942018946322316
97,97,0.11884714406571198
98,98,0.08997009064547695
99,99,0.10050202309047285
