,ID,HDA
0,0,0.19839862188738552
1,1,0.13220131536966293
2,2,0.19150822999502337
3,3,0.2516617217665016
4,4,0.09452019494294574
5,5,0.1468532366635957
6,6,0.18226569381221988
7,7,0.1680230392102136
8,8,0.2320576042303689
9,9,0.12401858404676196
10,10,0.2024484687563799
11,11,0.22017014272742652
12,12,0.1987847600634654
13,13,0.1790331959837965
14,14,0.23648037285045703
15,15,0.23015305538586278
16,16,0.23222181414491172
17,17,0.2526165711191702
18,18,0.20521497523528479
19,19,0.22117132363595673
20,20,0.23056714710961312
21,21,0.1342978621400648
22,22,0.19459964328026105
23,23,0.19071508779849497
24,24,0.10807119093025809
25,25,0.23502645242936698
26,26,0.1329820207267326
27,27,0.20906216011236128
28,28,0.13668715030667636
29,29,0.2137864980060322
30,30,0.16824210093519634
31,31,0.214671317769105
32,32,0.21838945627252776
33,33,0.20525879443646536
34,34,0.2011953439857844
35,35,0.13209257357252385
36,36,0.18762846453176565
37,37,0.1610558181190525
38,38,0.19868083834617908
39,39,0.1893468951986156
40,40,0.21636055813015967
41,41,0.1332046261750826
42,42,0.2591922340441861
43,43,0.2287971590340502
44,44,0.1483940365413673
45,45,0.2443835498567058
46,46,0.19092759292111428
47,47,0.16281702844283885
48,48,0.23301843048712054
49,49,0.1618299242715862
50,50,0.19294403111817118
51,51,0.1671498393129673
52,52,0.1786320506931847
53,53,0.2113229877078842
54,54,0.14309418172539173
55,55,0.23719133718724614
56,56,0.23059319475948403
57,57,0.2722614735583129
58,58,0.1830451543182298
59,59,0.20548461804810625
60,60,0.16796143423814605
61,61,0.15028206575814615
62,62,0.2093204677019185
63,63,0.23374573604827484
64,64,0.17450646839457093
65,65,0.20448123147416722
66,66,0.20965247178523364
67,67,0.2753262800380182
68,68,0.1828758448644853
69,69,0.24338862685622287
70,70,0.2327029841159765
71,71,0.21608609698177098
72,72,0.14731890931694594
73,73,0.20811452943412292
74,74,0.23292386570282916
75,75,0.19351105146954237
76,76,0.2273644110552501
77,77,0.21246011527070963
78,78,0.2334485069360937
79,79,0.17906707758266036
80,80,0.1742904288385569
81,81,0.1662744108414314
82,82,0.20760950604490913
83,83,0.17996956172548445
84,84,0.2379821035908449
85,85,0.13117443793162611
86,86,0.1949092932746248
87,87,0.19591771936982588
88,88,0.2557421864793257
89,89,0.2138435503734457
90,90,0.1670066604387159
91,91,0.23162739002531282
92,92,0.22549024391392894
93,93,0.19444998448911388
94,94,0.1634013095900606
95,95,0.17309703101642487
96,96,0.2188359909253193
97,97,0.22365473424589033
98,98,0.20176378412089702
99,99,0.2739371121027352
