,ID,HDDA
0,0,0.07852021483097388
1,1,0.052353202549762216
2,2,0.10629650325755371
3,3,0.0739355859533749
4,4,0.04112688193649875
5,5,0.061159341808895984
6,6,0.09061170891345831
7,7,0.08312220258257023
8,8,0.040115645929196905
9,9,0.07139951993089988
10,10,0.08517762564283772
11,11,0.07452235904623486
12,12,0.08963428691263231
13,13,0.06976209068153476
14,14,0.1049803020308336
15,15,0.07573919498583538
16,16,0.04259477542997391
17,17,0.04509898018106055
18,18,0.09432033814090293
19,19,0.061856407302725194
20,20,0.058389480113529554
21,21,0.09335915725695215
22,22,0.06997102894352512
23,23,0.06907012809675882
24,24,0.08046041154297033
25,25,0.01872268521386549
26,26,0.09783715069331857
27,27,0.07103386584832302
28,28,0.03484995493590417
29,29,0.08243820881681078
30,30,0.061672707028621716
31,31,0.06984348596787199
32,32,0.04765460773774765
33,33,0.024795751189025324
34,34,0.07831003502962783
35,35,0.047767752129756355
36,36,0.04425840217117749
37,37,0.07291333985976153
38,38,0.06278827151401815
39,39,0.03414193485435188
40,40,0.05577338495344534
41,41,0.05153855159520836
42,42,0.07792975181636343
43,43,0.02881236680913824
44,44,0.03146774894543319
45,45,0.03707318814311267
46,46,0.04169123141317454
47,47,0.026097928673437833
48,48,0.040710031947047864
49,49,0.043689805217603274
50,50,0.07514621172480608
51,51,0.10145927319403371
52,52,0.07097064040234781
53,53,0.057565832081202715
54,54,0.06554682303005102
55,55,0.04774835956947338
56,56,0.06126532030084568
57,57,0.08475883554349889
58,58,0.06147737642647741
59,59,0.07239556279422434
60,60,0.08971579382170887
61,61,0.020047332554920253
62,62,0.052253522713647804
63,63,0.07189841984361353
64,64,0.05156883001583628
65,65,0.08002083551169671
66,66,0.01601030285216819
67,67,0.11755167065136249
68,68,0.0802940769139568
69,69,0.06530398103349033
70,70,0.07023451747910732
71,71,0.04159097132508343
72,72,0.11924909720128823
73,73,0.09210674468191196
74,74,0.08741743027893141
75,75,0.06914232133269467
76,76,0.04896066454017764
77,77,0.111200386714937
78,78,0.08772524025947831
79,79,0.015406643745511152
80,80,0.04684516377077874
81,81,0.09453895045399861
82,82,0.08263998463067794
83,83,0.018543903009624794
84,84,0.07041196258822052
85,85,0.02538433052368743
86,86,0.021237243682873264
87,87,0.10700250505265604
88,88,0.01985190280206602
89,89,0.05490332246344257
90,90,0.020573717851597423
91,91,0.1091040752081271
92,92,0.04419551129034473
93,93,0.0449828332141762
94,94,0.048622681843204486
95,95,0.07029858185569338
96,96,0.07495672027728281
97,97,0.04231463826893595
98,98,0.1062912507056815
99,99,0.04997572892611922
