,ID,SHATTER
0,0,0.08502570868774253
1,1,0.09394675996861196
2,2,0.09516007863665575
3,3,0.09246102099716363
4,4,0.09099452439721523
5,5,0.08833439396720519
6,6,0.09004250751194276
7,7,0.09046575589050293
8,8,0.08769567414614261
9,9,0.09318958996009127
10,10,0.09011921814346663
11,11,0.09990422576718434
12,12,0.0920913670819263
13,13,0.09048274670653207
14,14,0.08880898831613625
15,15,0.08417854972663436
16,16,0.0925337863079661
17,17,0.08471389814446846
18,18,0.09473229022706123
19,19,0.09130294841824177
20,20,0.096433393743623
21,21,0.09407797548910216
22,22,0.08970518165883445
23,23,0.09733192212730422
24,24,0.09489400937494934
25,25,0.0829207306934167
26,26,0.09463808528653811
27,27,0.09093745908505049
28,28,0.0947161839262484
29,29,0.0949239062698918
30,30,0.09983151326392217
31,31,0.0868793679318429
32,32,0.08978112365216377
33,33,0.08950155693136971
34,34,0.09241072825749241
35,35,0.08585367846136051
36,36,0.09426788752715794
37,37,0.09272805006485126
38,38,0.09712307112674066
39,39,0.0923880408022249
40,40,0.09753058050047762
41,41,0.09870796259871094
42,42,0.09799797230269297
43,43,0.09055368358263778
44,44,0.09863922626184035
45,45,0.09912656530427139
46,46,0.09208115389064299
47,47,0.09350699994946134
48,48,0.08859306797686901
49,49,0.09826250963319683
50,50,0.09517353160718914
51,51,0.08812035852642586
52,52,0.088887857551302
53,53,0.0868410283614882
54,54,0.09492441817080212
55,55,0.09115105202237193
56,56,0.09699373564617828
57,57,0.08964680835204913
58,58,0.09169887318794528
59,59,0.0982193017948578
60,60,0.09208938395072092
61,61,0.0914368236391354
62,62,0.1032876332460676
63,63,0.09356854179282006
64,64,0.0919052600293346
65,65,0.09474609054636236
66,66,0.08381012132369887
67,67,0.0953452711656156
68,68,0.09616386913671164
69,69,0.09229514715153853
70,70,0.09315170976976339
71,71,0.09228456590093174
72,72,0.08865377334145405
73,73,0.09617219643285142
74,74,0.08818569685216279
75,75,0.09367024985471731
76,76,0.0931808503409213
77,77,0.08980146330725082
78,78,0.09607911261516341
79,79,0.08992293274051295
80,80,0.09200935261420469
81,81,0.085336234851263
82,82,0.09517939187683817
83,83,0.09458758424011988
84,84,0.09215867929529453
85,85,0.09511195266276118
86,86,0.09425384601609108
87,87,0.09001768676791432
88,88,0.09008391447067493
89,89,0.08750548120592891
90,90,0.08987937224992328
91,91,0.08873102131836794
92,92,0.09000656853217164
93,93,0.08755627682522624
94,94,0.08966172674368204
95,95,0.09250098492046255
96,96,0.09336002995112024
97,97,0.09348388108841663
98,98,0.09726334400138603
99,99,0.0843399141912559
