,ANOC,Algorithms
0,0.12015081236285158,HDSA
1,0.1229705347214084,HDSA
2,0.1128445192729602,HDSA
3,0.12456774177242375,HDSA
4,0.1183574771032876,HDSA
5,0.11392908267924735,HDSA
6,0.11636169590428352,HDSA
7,0.0993002686616552,HDSA
8,0.1003423171232148,HDSA
9,0.06572253358161731,HDSA
10,0.11803794412435972,HDSA
11,0.09952838932173996,HDSA
12,0.11229965411358407,HDSA
13,0.1147414239744818,HDSA
14,0.1084028017373894,HDSA
15,0.11541328082492355,HDSA
16,0.09822098511101356,HDSA
17,0.11397906521504185,HDSA
18,0.1088405881668872,HDSA
19,0.08885933891050407,HDSA
20,0.15559543789874192,HDSA
21,0.08221812498759158,HDSA
22,0.09962518854950513,HDSA
23,0.12934197869748693,HDSA
24,0.12296596485680195,HDSA
25,0.1200910021577648,HDSA
26,0.10448233695747676,HDSA
27,0.09425580473851217,HDSA
28,0.1124141734486298,HDSA
29,0.1251527979837799,HDSA
30,0.10943228861355177,HDSA
31,0.10176542524257433,HDSA
32,0.07696363555363897,HDSA
33,0.12061478735383395,HDSA
34,0.08689372748945845,HDSA
35,0.11813325298949605,HDSA
36,0.11777393558102875,HDSA
37,0.10415583312362596,HDSA
38,0.12330743028444435,HDSA
39,0.06840288369846641,HDSA
40,0.11875474524536025,HDSA
41,0.10898025229841966,HDSA
42,0.09738535287957872,HDSA
43,0.1000917626025822,HDSA
44,0.1213697031268091,HDSA
45,0.11957807996883772,HDSA
46,0.10177711711184624,HDSA
47,0.11159399861008418,HDSA
48,0.11888025525118305,HDSA
49,0.08830783508798198,HDSA
50,0.13547988082989473,HDSA
51,0.12016467934642132,HDSA
52,0.08557051135282404,HDSA
53,0.12164532404836635,HDSA
54,0.09729823330365678,HDSA
55,0.12040787594289044,HDSA
56,0.09319366402034364,HDSA
57,0.0859574669436819,HDSA
58,0.0988456901005528,HDSA
59,0.11250145465743856,HDSA
60,0.14016317105508608,HDSA
61,0.1294321751812981,HDSA
62,0.1266054071229383,HDSA
63,0.1458319363729085,HDSA
64,0.11912727208826575,HDSA
65,0.0820558838694179,HDSA
66,0.12151820411116927,HDSA
67,0.16336964208664365,HDSA
68,0.10900655329149972,HDSA
69,0.11171897486431218,HDSA
70,0.12923226002784405,HDSA
71,0.1224404257580248,HDSA
72,0.11270125004292675,HDSA
73,0.11368218396787255,HDSA
74,0.1186042764427787,HDSA
75,0.13071750276691313,HDSA
76,0.12494532029476685,HDSA
77,0.12684293442921024,HDSA
78,0.10231980848658262,HDSA
79,0.09082564633730712,HDSA
80,0.09046350734901064,HDSA
81,0.12007130720745292,HDSA
82,0.10851852349454942,HDSA
83,0.13050501251366886,HDSA
84,0.11342198883438978,HDSA
85,0.13106161240303166,HDSA
86,0.09927628361226437,HDSA
87,0.12748906927186768,HDSA
88,0.11875512834522026,HDSA
89,0.12573441137602592,HDSA
90,0.11881972246598177,HDSA
91,0.13378614580242146,HDSA
92,0.11145472074665376,HDSA
93,0.11727833249339778,HDSA
94,0.12135963075378915,HDSA
95,0.1003340857870318,HDSA
96,0.0866956163817211,HDSA
97,0.09212914260615393,HDSA
98,0.09737661839599644,HDSA
99,0.13257999891823993,HDSA
0,0.11742725881366572,HDDA
1,0.1050909909861468,HDDA
2,0.07832519344578545,HDDA
3,0.09624469199738096,HDDA
4,0.07105301672434904,HDDA
5,0.10075245411572932,HDDA
6,0.11027103056191516,HDDA
7,0.08473953140318934,HDDA
8,0.11321897388006312,HDDA
9,0.09301817992155396,HDDA
10,0.06501012673850741,HDDA
11,0.10756834157178702,HDDA
12,0.06827454032703477,HDDA
13,0.08514595866167936,HDDA
14,0.0768765078057926,HDDA
15,0.09260672345665384,HDDA
16,0.08108783548589565,HDDA
17,0.0977714115482225,HDDA
18,0.0830639317604898,HDDA
19,0.09180308847621664,HDDA
20,0.08425592762043624,HDDA
21,0.11166392929377132,HDDA
22,0.09780553632067797,HDDA
23,0.06899603839595071,HDDA
24,0.09546277344864992,HDDA
25,0.11154965262819692,HDDA
26,0.09421036842739347,HDDA
27,0.0917035088016106,HDDA
28,0.10111115843065943,HDDA
29,0.06526855436641565,HDDA
30,0.1242616880199892,HDDA
31,0.09093836681507028,HDDA
32,0.08190445035947601,HDDA
33,0.10936577801860524,HDDA
34,0.08268455071573977,HDDA
35,0.0831241841863501,HDDA
36,0.07952193760977297,HDDA
37,0.11126177430332893,HDDA
38,0.08884914804984866,HDDA
39,0.09815139829188056,HDDA
40,0.06962081017013365,HDDA
41,0.08600616715294032,HDDA
42,0.09022872684681316,HDDA
43,0.08258273050837972,HDDA
44,0.08550742609186482,HDDA
45,0.10493120215987026,HDDA
46,0.08741613988330324,HDDA
47,0.11694282292238782,HDDA
48,0.09936947964004401,HDDA
49,0.08265380836827009,HDDA
50,0.07822444660527586,HDDA
51,0.08298486651266332,HDDA
52,0.0832074344331713,HDDA
53,0.07854297142598864,HDDA
54,0.09129732917135684,HDDA
55,0.10066351437444204,HDDA
56,0.10710562078908904,HDDA
57,0.06360279977126522,HDDA
58,0.10321455191742908,HDDA
59,0.07029090021817985,HDDA
60,0.06959839108634769,HDDA
61,0.09541570875385896,HDDA
62,0.10473860350699256,HDDA
63,0.0758604595146045,HDDA
64,0.09680013386521942,HDDA
65,0.10871287987994374,HDDA
66,0.10045471712570866,HDDA
67,0.09525768315517566,HDDA
68,0.09462356480232434,HDDA
69,0.07733889153687153,HDDA
70,0.0988702006654732,HDDA
71,0.1042179372122202,HDDA
72,0.06525755436117804,HDDA
73,0.09036835590492336,HDDA
